set	category	size	url	local_path	rationale
amiramesh-smoke	amiramesh	10284	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_Check.tif	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_Check.tif	Smallest public files for fast external smoke coverage.
amiramesh-smoke	amiramesh	11187	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_CheckMIB.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_CheckMIB.am	Smallest public files for fast external smoke coverage.
amiramesh-smoke	amiramesh	14579	https://downloads.openmicroscopy.org/images/AmiraMesh/imagesc-50585/BF_CheckAmira.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/imagesc-50585/BF_CheckAmira.am	Smallest public files for fast external smoke coverage.
amiramesh-feature	amiramesh	238265539	https://downloads.openmicroscopy.org/images/AmiraMesh/zenodo-18337391/Electron_tomogram.am	external-fixtures/data/amiramesh/downloads.openmicroscopy.org/zenodo-18337391/Electron_tomogram.am	Moderate-size public files for broader format feature coverage.
bdv-smoke	bdv	2334	https://downloads.openmicroscopy.org/images/BDV/idr0048/WB.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/WB.xml	Smallest public files for fast external smoke coverage.
bdv-smoke	bdv	2340	https://downloads.openmicroscopy.org/images/BDV/idr0048/astroP65.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/astroP65.xml	Smallest public files for fast external smoke coverage.
bdv-smoke	bdv	2554	https://downloads.openmicroscopy.org/images/BDV/idr0038/Lam-Cytok-MV-f0.xml	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0038/Lam-Cytok-MV-f0.xml	Smallest public files for fast external smoke coverage.
bdv-feature	bdv	356633292	https://downloads.openmicroscopy.org/images/BDV/samples/HisYFP-SPIM.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/HisYFP-SPIM.h5	Moderate-size public files for broader format feature coverage.
bdv-feature	bdv	620411552	https://downloads.openmicroscopy.org/images/BDV/samples/drosophila.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/samples/drosophila.h5	Moderate-size public files for broader format feature coverage.
bdv-regression-large	bdv	13279437715	https://downloads.openmicroscopy.org/images/BDV/idr0038/Lam-Cytok-MV-f0.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0038/Lam-Cytok-MV-f0.h5	Large public regression/stress files; not for routine CI.
bdv-regression-large	bdv	51049420472	https://downloads.openmicroscopy.org/images/BDV/idr0048/WB.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/WB.h5	Large public regression/stress files; not for routine CI.
bdv-regression-large	bdv	77879032035	https://downloads.openmicroscopy.org/images/BDV/idr0048/astroP65.h5	external-fixtures/data/bdv/downloads.openmicroscopy.org/idr0048/astroP65.h5	Large public regression/stress files; not for routine CI.
cellh5-smoke	cellh5	11805	https://downloads.openmicroscopy.org/images/CellH5/samples/full/_all_positions.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/_all_positions.ch5	Smallest public files for fast external smoke coverage.
cellh5-smoke	cellh5	67519830	https://downloads.openmicroscopy.org/images/CellH5/idr0013/00001_01.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/idr0013/00001_01.ch5	Smallest public files for fast external smoke coverage.
cellh5-feature	cellh5	67519830	https://downloads.openmicroscopy.org/images/CellH5/idr0013/00001_01.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/idr0013/00001_01.ch5	Moderate-size public files for broader format feature coverage.
cellh5-feature	cellh5	276432226	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0041.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0041.ch5	Moderate-size public files for broader format feature coverage.
cellh5-feature	cellh5	341756246	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0013.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0013.ch5	Moderate-size public files for broader format feature coverage.
cellh5-feature	cellh5	381252440	https://downloads.openmicroscopy.org/images/CellH5/samples/full/0045.ch5	external-fixtures/data/cellh5/downloads.openmicroscopy.org/samples/full/0045.ch5	Moderate-size public files for broader format feature coverage.
